Epoch	loss
Epoch: 125	total: 14187.472517	BCE: 14075.672573	KLD: 22.360004	KLD_var: 0.533848
Epoch: 126	total: 13930.812919	BCE: 13808.035435	KLD: 24.555487	KLD_var: 0.645735
Epoch: 127	total: 13928.162388	BCE: 13814.157924	KLD: 22.800898	KLD_var: 0.633649
Epoch: 128	total: 14001.799247	BCE: 13883.382533	KLD: 23.683302	KLD_var: 0.576106
Epoch: 129	total: 13960.276228	BCE: 13839.547712	KLD: 24.145718	KLD_var: 0.762613
Epoch: 130	total: 13588.879046	BCE: 13473.109794	KLD: 23.153849	KLD_var: 0.557150
Epoch: 131	total: 13709.462891	BCE: 13592.507394	KLD: 23.391065	KLD_var: 0.556715
Epoch: 132	total: 13817.525809	BCE: 13698.625558	KLD: 23.780013	KLD_var: 0.566620
Epoch: 133	total: 13902.872489	BCE: 13785.233677	KLD: 23.527751	KLD_var: 0.574466
Epoch: 134	total: 13647.037946	BCE: 13524.560826	KLD: 24.495435	KLD_var: 0.565936
Epoch: 135	total: 13773.679967	BCE: 13651.279576	KLD: 24.480098	KLD_var: 0.552477
Epoch: 136	total: 13833.846122	BCE: 13717.583705	KLD: 23.252488	KLD_var: 0.589672
Epoch: 137	total: 13874.099470	BCE: 13756.510324	KLD: 23.517820	KLD_var: 0.500392
Epoch: 138	total: 13713.595564	BCE: 13594.523996	KLD: 23.814296	KLD_var: 0.536820
Epoch: 139	total: 13627.046177	BCE: 13509.789202	KLD: 23.451356	KLD_var: 0.561024
Epoch: 140	total: 13697.981306	BCE: 13578.249023	KLD: 23.946439	KLD_var: 0.486496
Epoch: 141	total: 14365.988560	BCE: 14246.826869	KLD: 23.832326	KLD_var: 0.530309
Epoch: 142	total: 13730.959263	BCE: 13613.612584	KLD: 23.469359	KLD_var: 0.564237
Epoch: 143	total: 13928.299665	BCE: 13810.469727	KLD: 23.566004	KLD_var: 0.556741
Epoch: 144	total: 13875.909180	BCE: 13758.711775	KLD: 23.439475	KLD_var: 0.602235
Epoch: 145	total: 14165.580915	BCE: 14049.809570	KLD: 23.154233	KLD_var: 0.631567
Epoch: 146	total: 13915.088728	BCE: 13797.701730	KLD: 23.477385	KLD_var: 0.534493
Epoch: 147	total: 13809.935547	BCE: 13689.609375	KLD: 24.065210	KLD_var: 0.521707
Epoch: 148	total: 13625.704241	BCE: 13508.825893	KLD: 23.375688	KLD_var: 0.480440
Epoch: 149	total: 13636.896624	BCE: 13519.729771	KLD: 23.433399	KLD_var: 0.550695
Epoch: 150	total: 13929.306222	BCE: 13812.279715	KLD: 23.405335	KLD_var: 0.448918
Epoch: 151	total: 13379.088030	BCE: 13262.713309	KLD: 23.274931	KLD_var: 0.435084
Epoch: 152	total: 13844.420061	BCE: 13728.191546	KLD: 23.245686	KLD_var: 0.498078
Epoch: 153	total: 13791.024972	BCE: 13673.375140	KLD: 23.529918	KLD_var: 0.426450
Epoch: 154	total: 13919.301339	BCE: 13802.237723	KLD: 23.412704	KLD_var: 0.468001
Epoch: 155	total: 13827.649972	BCE: 13708.060965	KLD: 23.917799	KLD_var: 0.436557
Epoch: 156	total: 13601.096401	BCE: 13485.719169	KLD: 23.075437	KLD_var: 0.508498
Epoch: 157	total: 13922.914900	BCE: 13800.043108	KLD: 24.574364	KLD_var: 0.487785
